<sentence>,<sentence>,<sentence>,<sentence>
,basidia,,
,4-spored,,
,",",,
,at,,
,times,,
,3-spored,,
,or,,
,2-spored,,
,",",,
,measuring,,
,19-34,,
,x,,
,6-10,,
,µm,,
,",",,
,clavate,,
,or,,
,slightly,,
,truncate,,
,at,,
,the,,
,apex,,
,",",,
,with,,
,sterigmata,,
,up,,
,to,,
,4,,
,µm,,
,long,,
,.,,
</sentence>,</sentence>,</sentence>,</sentence>
,<sentence>,,
,pileipellis,,
,constituted,,
,by,,
,cylindrical,,
,hyphae,,
,",",,
,5-16,,
,µm,,
,wide,,
,",",,
,the,,
,wider,,
,the,,
,more,,
,constricted,,
,at,,
,septa,,
,",",,
,with,,
,terminal,,
,elements,,
,very,,
,long,,
,and,,
,with,,
,apex,,
,either,,
,rounded,,
,or,,
,progressively,,
,tapered,,
,.,,
,</sentence>,,
,<sentence>,,
,flowers,,
,:,,
,hypanthium,,
,disc-shaped,,
,;,,
,sepals,,
,prominently,,
,3-veined,,
,",",,
,ovate,,
,to,,
,lanceolate,,
,",",,
,2.5,,
,--,,
,3.2,,
,mm,,
,",",,
,not,,
,enlarging,,
,in,,
,fruit,,
,",",,
,apex,,
,green,,
,to,,
,purple,,
,",",,
,acute,,
,to,,
,acuminate,,
,",",,
,not,,
,hooded,,
,",",,
,stipitate-glandular,,
,;,,
,petals,,
,elliptic,,
,",",,
,0.8,,
,--,,
,1.3,,
,times,,
,as,,
,long,,
,as,,
,sepals,,
,",",,
,apex,,
,rounded,,
,",",,
,entire,,
,.,,
,</sentence>,,
,<sentence>,,
,myxillidae,,
,with,,
,smooth,,
,tornotes,,
,with,,
,hastate\/mucronate,,
,apices,,
,and,,
,an,,
,isotropic,,
,reticulation,,
,of,,
,thick,,
,acanthostrongyles,,
,",",,
,echinated,,
,by,,
,thick,,
,acanthostyles,,
,;,,
,microscleres,,
,robust,,
,spatulif-erous,,
,anchorate,,
,isochelae,,
,.,,
,</sentence>,,
,<sentence>,,
,length,,
,2.8-3,,
,0.1,,
,mm,,
,",",,
,width,,
,1.4-1,,
,0.5,,
,mm,,
,",",,
,l\/w,,
,#ERROR!,,
,2.0-2,,
,0.1,,
,.,,
,rostrum,,
,0.6-0,,
,0.7,,
,mm,,
,",",,
,r\/p,,
,#ERROR!,,
,0.6-0,,
